"","Miles.per.gallon","Cylinders","Displacement","Horsepower","Weight","Acceleration","Model.year","Origin","Car.name","Index","Miles.per.gallon_z","Displacement_z","Horsepower_z","Weight_z","Acceleration_z","Cylinders_z"
"1",18,8,307,130,3504,12,70,1,"chevrolet chevelle malibu",1,-0.705550656678751,1.06955598527695,0.642720780097678,0.619343006176837,-1.25553119100522,1.47452988340145
"2",15,8,350,165,3693,11.5,70,1,"buick skylark 320",2,-1.08937947209447,1.47938244821089,1.545509073603,0.842482361784228,-1.43388866600456,1.47452988340145
"3",18,8,318,150,3436,11,70,1,"plymouth satellite",3,-0.705550656678751,1.17439531300424,1.15859980495786,0.539060063418622,-1.6122461410039,1.47452988340145
"4",16,8,304,150,3433,12,70,1,"amc rebel sst",4,-0.961436533622567,1.04096344135132,1.15859980495786,0.535518168885171,-1.25553119100522,1.47452988340145
"5",17,8,302,140,3449,10.5,70,1,"ford torino",5,-0.833493595150659,1.02190174540091,0.900660292527769,0.554408273063575,-1.79060361600324,1.47452988340145
"6",15,8,429,198,4341,10,70,1,"ford galaxie 500",6,-1.08937947209447,2.23231943825233,2.39670946462229,1.60753158100957,-1.96896109100259,1.47452988340145
"7",14,8,454,220,4354,9,70,1,"chevrolet impala",7,-1.21732241056638,2.47059063763253,2.96417639196849,1.62287979065452,-2.32567604100127,1.47452988340145
"8",14,8,440,215,4312,8.5,70,1,"plymouth fury iii",8,-1.21732241056638,2.33715876597962,2.83520663575345,1.57329326718621,-2.50403351600061,1.47452988340145
"9",14,8,455,225,4425,10,70,1,"pontiac catalina",9,-1.21732241056638,2.48012148560774,3.09314614818354,1.70670462794619,-1.96896109100259,1.47452988340145
"10",15,8,390,190,3850,8.5,70,1,"amc ambassador dpl",10,-1.08937947209447,1.86061636721922,2.19035785467822,1.02784150903481,-2.50403351600061,1.47452988340145
"11",NA,4,133,115,3090,17.5,70,2,"citroen ds-21 pallas",11,NA,-0.58881156240925,0.255811511452542,0.130561560560646,0.706401033987541,-0.861700878202408
"12",NA,8,350,165,4142,11.5,70,1,"chevrolet chevelle concours (sw)",12,NA,1.47938244821089,1.545509073603,1.37258591029068,-1.43388866600456,1.47452988340145
"13",NA,8,351,153,4034,11,70,1,"ford torino (sw)",13,NA,1.4889132961861,1.23598165868689,1.24507770708645,-1.6122461410039,1.47452988340145
"14",NA,8,383,175,4166,10.5,70,1,"plymouth satellite (sw)",14,NA,1.79390043139276,1.80344858603309,1.40092106655828,-1.79060361600324,1.47452988340145
"15",NA,8,360,175,3850,11,70,1,"amc rebel sst (sw)",15,NA,1.57469092796297,1.80344858603309,1.02784150903481,-1.6122461410039,1.47452988340145
"16",15,8,383,170,3563,10,70,1,"dodge challenger se",16,-1.08937947209447,1.79390043139276,1.67447882981804,0.689000265334699,-1.96896109100259,1.47452988340145
"17",14,8,340,160,3609,8,70,1,"plymouth 'cuda 340",17,-1.21732241056638,1.38407396845881,1.41653931738795,0.743309314847609,-2.68239099099995,1.47452988340145
"18",NA,8,302,140,3353,8,70,1,"ford mustang boss 302",18,NA,1.02190174540091,0.900660292527769,0.441067647993154,-2.68239099099995,1.47452988340145
